#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDC25A	CDK2	9606.ENSP00000303706	9606.ENSP00000266970	0	0	0	0	0.198	0.742	0.900	0.933	0.998
CDC25A	PLK1	9606.ENSP00000303706	9606.ENSP00000300093	0	0	0	0	0.318	0.139	0.900	0.637	0.975
CDC25A	MYC	9606.ENSP00000303706	9606.ENSP00000478887	0	0	0	0	0.088	0.053	0.750	0.797	0.950
CDC25A	WEE1	9606.ENSP00000303706	9606.ENSP00000402084	0	0	0	0	0.129	0.474	0.500	0.831	0.956
CDC25A	CDK1	9606.ENSP00000303706	9606.ENSP00000378699	0	0	0	0	0.410	0.326	0.900	0.858	0.993
CDC25A	CHEK2	9606.ENSP00000303706	9606.ENSP00000372023	0	0	0	0	0.160	0.849	0.750	0.949	0.998
CDC25A	CHEK1	9606.ENSP00000303706	9606.ENSP00000391090	0	0	0	0	0.473	0.903	0.900	0.944	0.999
CDC25B	MAPK12	9606.ENSP00000245960	9606.ENSP00000215659	0	0	0	0	0.050	0.186	0.900	0.214	0.931
CDC25B	MAPK14	9606.ENSP00000245960	9606.ENSP00000229795	0	0	0	0	0.049	0.399	0.900	0.252	0.951
CDC25B	WEE1	9606.ENSP00000245960	9606.ENSP00000402084	0	0	0	0	0.074	0.474	0	0.811	0.900
CDC25B	PLK1	9606.ENSP00000245960	9606.ENSP00000300093	0	0	0	0	0.167	0.139	0.900	0.706	0.976
CDC25B	CHEK1	9606.ENSP00000245960	9606.ENSP00000391090	0	0	0	0	0.044	0.588	0.900	0.659	0.984
CDC25B	CDK2	9606.ENSP00000245960	9606.ENSP00000266970	0	0	0	0	0.104	0.722	0.400	0.967	0.994
CDC25B	CDK1	9606.ENSP00000245960	9606.ENSP00000378699	0	0	0	0	0.105	0.807	0.900	0.932	0.998
CDC42	MAPK12	9606.ENSP00000497733	9606.ENSP00000215659	0	0	0	0	0.063	0.125	0.900	0.424	0.946
CDC42	PIK3R2	9606.ENSP00000497733	9606.ENSP00000222254	0	0	0	0	0.042	0.175	0.900	0.718	0.974
CDC42	MAPK14	9606.ENSP00000497733	9606.ENSP00000229795	0	0	0	0	0.092	0.125	0.900	0.649	0.968
CDC42	KDR	9606.ENSP00000497733	9606.ENSP00000263923	0	0	0	0	0.055	0.071	0.900	0.449	0.945
CDC42	PIK3CA	9606.ENSP00000497733	9606.ENSP00000263967	0	0	0	0	0.073	0.504	0.900	0.664	0.982
CDC42	EGFR	9606.ENSP00000497733	9606.ENSP00000275493	0	0	0	0	0.042	0.211	0.500	0.895	0.955
CDC42	PAK1	9606.ENSP00000497733	9606.ENSP00000278568	0	0	0	0	0.092	0.993	0.900	0.993	0.999
CDC42	PTEN	9606.ENSP00000497733	9606.ENSP00000361021	0	0	0	0	0.057	0.099	0.900	0.704	0.971
CDC42	SRC	9606.ENSP00000497733	9606.ENSP00000362680	0	0	0	0	0.103	0.110	0.900	0.909	0.991
CDC42	PIK3CD	9606.ENSP00000497733	9606.ENSP00000366563	0	0	0	0	0.069	0.504	0.900	0.339	0.965
CDC42	GRB2	9606.ENSP00000497733	9606.ENSP00000376345	0	0	0	0	0.165	0.211	0.400	0.826	0.922
CDC42	MAPK8	9606.ENSP00000497733	9606.ENSP00000378974	0	0	0	0	0.101	0.640	0.900	0.636	0.986
CDC42	MAP3K1	9606.ENSP00000497733	9606.ENSP00000382423	0	0	0	0	0.112	0.128	0.900	0.629	0.967
CDC42	MAPK9	9606.ENSP00000497733	9606.ENSP00000394560	0	0	0	0	0.073	0.473	0.900	0.580	0.976
CDC42	RHOA	9606.ENSP00000497733	9606.ENSP00000400175	0	0	0.062	0.948	0.361	0.295	0.900	0.103	0.955
CDC42	PIK3R1	9606.ENSP00000497733	9606.ENSP00000428056	0	0	0	0	0.074	0.683	0.900	0.768	0.992
CDC42	CTNNB1	9606.ENSP00000497733	9606.ENSP00000495360	0	0	0	0	0.138	0.178	0.500	0.772	0.908
CDC42	PIK3CB	9606.ENSP00000497733	9606.ENSP00000501150	0	0	0	0	0.061	0.954	0.900	0.859	0.999
CDH1	MDM2	9606.ENSP00000261769	9606.ENSP00000258149	0	0	0	0	0.060	0.735	0	0.722	0.925
CDH1	EPCAM	9606.ENSP00000261769	9606.ENSP00000263735	0	0	0	0	0.418	0.081	0	0.837	0.905
CDH1	PTEN	9606.ENSP00000261769	9606.ENSP00000361021	0	0	0	0	0.053	0	0	0.929	0.930
CDH1	ZEB2	9606.ENSP00000261769	9606.ENSP00000487174	0	0	0	0	0.053	0	0	0.953	0.954
CDH1	MMP9	9606.ENSP00000261769	9606.ENSP00000361405	0	0	0	0	0.044	0.048	0.750	0.836	0.957
CDH1	MET	9606.ENSP00000261769	9606.ENSP00000317272	0	0	0	0	0.050	0.311	0	0.943	0.959
CDH1	ZEB1	9606.ENSP00000261769	9606.ENSP00000354487	0	0	0	0	0.053	0	0	0.961	0.961
CDH1	ERBB2	9606.ENSP00000261769	9606.ENSP00000269571	0	0	0	0	0.139	0.108	0	0.964	0.970
CDH1	CDH5	9606.ENSP00000261769	9606.ENSP00000497290	0	0	0	0.732	0	0	0.540	0.969	0.985
CDH1	SRC	9606.ENSP00000261769	9606.ENSP00000362680	0	0	0	0	0.042	0.751	0	0.955	0.988
CDH1	CDH2	9606.ENSP00000261769	9606.ENSP00000269141	0	0	0.055	0.916	0	0	0.720	0.983	0.995
CDH1	CTNNB1	9606.ENSP00000261769	9606.ENSP00000495360	0	0	0	0	0.063	0.999	0.900	0.999	0.999
CDH1	CTNNA1	9606.ENSP00000261769	9606.ENSP00000304669	0	0	0	0	0.050	0.858	0.900	0.979	0.999
CDH1	JUP	9606.ENSP00000261769	9606.ENSP00000377508	0	0	0	0	0.158	0.984	0.900	0.637	0.999
CDH1	EGFR	9606.ENSP00000261769	9606.ENSP00000275493	0	0	0	0	0.055	0.815	0	0.995	0.999
CDH2	CREBBP	9606.ENSP00000269141	9606.ENSP00000262367	0	0	0	0	0	0.519	0	0.870	0.934
CDH2	FGFR1	9606.ENSP00000269141	9606.ENSP00000393312	0	0	0	0	0.122	0.516	0	0.885	0.946
CDH2	GJA1	9606.ENSP00000269141	9606.ENSP00000282561	0	0	0	0	0.191	0.100	0	0.940	0.952
CDH2	JUP	9606.ENSP00000269141	9606.ENSP00000377508	0	0	0	0	0.055	0.816	0.720	0.560	0.975
CDH2	CTNNA1	9606.ENSP00000269141	9606.ENSP00000304669	0	0	0	0	0	0.836	0.720	0.800	0.990
CDH2	CTNNB1	9606.ENSP00000269141	9606.ENSP00000495360	0	0	0	0	0.061	0.942	0.720	0.999	0.999
CDH5	FLT4	9606.ENSP00000497290	9606.ENSP00000261937	0	0	0	0	0.236	0.048	0	0.942	0.954
CDH5	KDR	9606.ENSP00000497290	9606.ENSP00000263923	0	0	0	0	0.482	0.630	0.800	0.998	0.999
CDH5	CTNNA1	9606.ENSP00000497290	9606.ENSP00000304669	0	0	0	0	0	0.731	0.800	0.527	0.972
CDH5	TEK	9606.ENSP00000497290	9606.ENSP00000369375	0	0	0	0	0.272	0.045	0	0.869	0.901
CDH5	CTNNB1	9606.ENSP00000497290	9606.ENSP00000495360	0	0	0	0	0	0.886	0.900	0.995	0.999
CDK1	CDKN1B	9606.ENSP00000378699	9606.ENSP00000228872	0	0	0	0	0.090	0.903	0	0.776	0.978
CDK1	CDK2	9606.ENSP00000378699	9606.ENSP00000266970	0	0	0.056	0.968	0.349	0.470	0.400	0.977	0.994
CDK1	RB1	9606.ENSP00000378699	9606.ENSP00000267163	0	0	0	0	0.090	0.853	0.900	0.730	0.995
CDK1	TP53	9606.ENSP00000378699	9606.ENSP00000269305	0	0	0	0	0.095	0.626	0	0.899	0.962
CDK1	GJA1	9606.ENSP00000378699	9606.ENSP00000282561	0	0	0	0	0.060	0	0.900	0.238	0.922
CDK1	PLK1	9606.ENSP00000378699	9606.ENSP00000300093	0	0	0	0.624	0.814	0.150	0.900	0.660	0.993
CDK1	EZH2	9606.ENSP00000378699	9606.ENSP00000320147	0	0	0	0	0.371	0.823	0	0.716	0.965
CDK1	HSP90AA1	9606.ENSP00000378699	9606.ENSP00000335153	0	0	0	0	0.112	0.358	0	0.855	0.910
CDK1	NEK2	9606.ENSP00000378699	9606.ENSP00000355966	0	0	0.130	0.733	0.832	0	0	0.493	0.919
CDK1	PCNA	9606.ENSP00000378699	9606.ENSP00000368458	0	0	0	0	0.605	0.600	0	0.595	0.930
CDK1	CHEK1	9606.ENSP00000378699	9606.ENSP00000391090	0	0	0	0.638	0.786	0.361	0	0.403	0.911
CDK1	TOP2A	9606.ENSP00000378699	9606.ENSP00000411532	0	0	0	0	0.960	0.053	0	0.943	0.997
CDK1	WEE1	9606.ENSP00000378699	9606.ENSP00000402084	0	0	0	0	0.181	0.731	0.900	0.957	0.998
CDK1	CDKN1A	9606.ENSP00000378699	9606.ENSP00000384849	0	0	0	0	0.085	0.900	0	0.986	0.998
CDK2	CDKN1B	9606.ENSP00000266970	9606.ENSP00000228872	0	0	0	0	0.085	0.999	0.900	0.999	0.999
CDK2	CDK4	9606.ENSP00000266970	9606.ENSP00000257904	0	0	0.084	0.908	0.138	0	0.900	0.983	0.998
CDK2	CREBBP	9606.ENSP00000266970	9606.ENSP00000262367	0	0	0	0	0.089	0.822	0	0.539	0.918
CDK2	EP300	9606.ENSP00000266970	9606.ENSP00000263253	0	0	0	0	0.069	0.795	0	0.640	0.925
CDK2	CDK6	9606.ENSP00000266970	9606.ENSP00000265734	0	0	0.075	0.925	0.085	0.676	0.900	0.963	0.998
CDK2	PCNA	9606.ENSP00000266970	9606.ENSP00000368458	0	0	0	0	0.406	0.876	0	0.390	0.951
CDK2	MYC	9606.ENSP00000266970	9606.ENSP00000478887	0	0	0	0	0.114	0.327	0.500	0.884	0.960
CDK2	FOXO1	9606.ENSP00000266970	9606.ENSP00000368880	0	0	0	0	0	0.117	0.900	0.659	0.967
CDK2	WEE1	9606.ENSP00000266970	9606.ENSP00000402084	0	0	0	0.585	0.192	0.649	0.800	0.800	0.987
CDK2	TP53	9606.ENSP00000266970	9606.ENSP00000269305	0	0	0	0	0.093	0.778	0.500	0.891	0.987
CDK2	CEBPA	9606.ENSP00000266970	9606.ENSP00000427514	0	0	0	0	0.047	0.644	0.900	0.806	0.992
CDK2	CDKN2A	9606.ENSP00000266970	9606.ENSP00000418915	0	0	0	0	0.072	0.094	0	0.993	0.993
CDK2	FOXO3	9606.ENSP00000266970	9606.ENSP00000339527	0	0	0	0	0	0.117	0.900	0.994	0.999
CDK2	RB1	9606.ENSP00000266970	9606.ENSP00000267163	0	0	0	0	0.095	0.991	0.900	0.821	0.999
CDK2	CDKN1A	9606.ENSP00000266970	9606.ENSP00000384849	0	0	0	0	0.085	0.994	0.900	0.999	0.999
CDK4	CDKN1B	9606.ENSP00000257904	9606.ENSP00000228872	0	0	0	0	0.087	0.999	0.900	0.996	0.999
CDK4	RAD51	9606.ENSP00000257904	9606.ENSP00000493712	0	0	0	0	0.229	0.071	0.800	0.468	0.913
CDK4	MYC	9606.ENSP00000257904	9606.ENSP00000478887	0	0	0	0	0.100	0.642	0	0.904	0.966
CDK4	TP53	9606.ENSP00000257904	9606.ENSP00000269305	0	0	0	0	0.117	0.554	0	0.922	0.966
CDK4	CEBPA	9606.ENSP00000257904	9606.ENSP00000427514	0	0	0	0	0.047	0.646	0.900	0.774	0.991
CDK4	PCNA	9606.ENSP00000257904	9606.ENSP00000368458	0	0	0	0	0.387	0.791	0.900	0.781	0.996
CDK4	HSP90AA1	9606.ENSP00000257904	9606.ENSP00000335153	0	0	0	0	0.100	0.861	0	0.989	0.998
CDK4	RB1	9606.ENSP00000257904	9606.ENSP00000267163	0	0	0	0	0.077	0.994	0.900	0.984	0.999
CDK4	CDKN2A	9606.ENSP00000257904	9606.ENSP00000418915	0	0	0	0	0.058	0.994	0.900	0.999	0.999
CDK4	CDKN1A	9606.ENSP00000257904	9606.ENSP00000384849	0	0	0	0	0.103	0.999	0.900	0.998	0.999
CDK4	CDK6	9606.ENSP00000257904	9606.ENSP00000265734	0	0	0.055	0.970	0.072	0.720	0.900	0.983	0.999
CDK6	CDKN1B	9606.ENSP00000265734	9606.ENSP00000228872	0	0	0	0	0.087	0.994	0.900	0.983	0.999
CDK6	RUNX1	9606.ENSP00000265734	9606.ENSP00000300305	0	0	0	0	0.082	0.603	0.700	0.433	0.929
CDK6	PCNA	9606.ENSP00000265734	9606.ENSP00000368458	0	0	0	0	0.310	0.461	0.900	0.550	0.981
CDK6	RB1	9606.ENSP00000265734	9606.ENSP00000267163	0	0	0	0	0.095	0.871	0.900	0.840	0.997
CDK6	CDKN1A	9606.ENSP00000265734	9606.ENSP00000384849	0	0	0	0	0.087	0.994	0.900	0.994	0.999
CDK6	CDKN2A	9606.ENSP00000265734	9606.ENSP00000418915	0	0	0	0	0.044	0.999	0.900	0.998	0.999
CDKN1A	CDKN1B	9606.ENSP00000384849	9606.ENSP00000228872	0	0	0	0.732	0	0.642	0.900	0.555	0.982
CDKN1A	MDM2	9606.ENSP00000384849	9606.ENSP00000258149	0	0	0	0	0.072	0.848	0	0.873	0.980
CDKN1A	CREBBP	9606.ENSP00000384849	9606.ENSP00000262367	0	0	0	0	0	0.783	0	0.577	0.904
CDKN1A	EP300	9606.ENSP00000384849	9606.ENSP00000263253	0	0	0	0	0	0.719	0	0.728	0.920
CDKN1A	STAT3	9606.ENSP00000384849	9606.ENSP00000264657	0	0	0	0	0.125	0.828	0.500	0.815	0.984
CDKN1A	TP53	9606.ENSP00000384849	9606.ENSP00000269305	0	0	0	0	0	0.925	0.900	0.960	0.999
CDKN1A	SMAD3	9606.ENSP00000384849	9606.ENSP00000332973	0	0	0	0	0.061	0.292	0.500	0.784	0.918
CDKN1A	HSP90AA1	9606.ENSP00000384849	9606.ENSP00000335153	0	0	0	0	0.078	0.292	0.500	0.756	0.909
CDKN1A	FOXO3	9606.ENSP00000384849	9606.ENSP00000339527	0	0	0	0	0.072	0.294	0	0.994	0.995
CDKN1A	SMAD4	9606.ENSP00000384849	9606.ENSP00000341551	0	0	0	0	0.103	0.600	0.500	0.707	0.940
CDKN1A	HDAC1	9606.ENSP00000384849	9606.ENSP00000362649	0	0	0	0	0	0.775	0	0.587	0.903
CDKN1A	PCNA	9606.ENSP00000384849	9606.ENSP00000368458	0	0	0	0	0.104	0.999	0.900	0.249	0.999
CDKN1A	CEBPA	9606.ENSP00000384849	9606.ENSP00000427514	0	0	0	0	0.055	0.299	0.900	0.419	0.956
CDKN1A	CDKN2A	9606.ENSP00000384849	9606.ENSP00000418915	0	0	0	0	0.060	0.049	0.500	0.933	0.966
CDKN1A	MYC	9606.ENSP00000384849	9606.ENSP00000478887	0	0	0	0	0.105	0.320	0.500	0.945	0.981
CDKN1B	CDKN2A	9606.ENSP00000228872	9606.ENSP00000418915	0	0	0	0	0	0.049	0.500	0.865	0.930
CDKN1B	RHOA	9606.ENSP00000228872	9606.ENSP00000400175	0	0	0	0	0.075	0.524	0.500	0.910	0.977
CDKN1B	FOXO3	9606.ENSP00000228872	9606.ENSP00000339527	0	0	0	0	0.092	0.429	0.750	0.869	0.980
CDKN1B	TP53	9606.ENSP00000228872	9606.ENSP00000269305	0	0	0	0	0	0.076	0.900	0.911	0.991
CDKN2A	MAPK12	9606.ENSP00000418915	9606.ENSP00000215659	0	0	0	0	0.047	0.072	0.900	0.250	0.924
CDKN2A	MAPK14	9606.ENSP00000418915	9606.ENSP00000229795	0	0	0	0	0.047	0.216	0.900	0.340	0.944
CDKN2A	KRAS	9606.ENSP00000418915	9606.ENSP00000256078	0	0	0	0	0.055	0.102	0.900	0.917	0.992
CDKN2A	RRAS2	9606.ENSP00000418915	9606.ENSP00000256196	0	0	0	0	0.046	0.102	0.900	0.200	0.922
CDKN2A	MDM2	9606.ENSP00000418915	9606.ENSP00000258149	0	0	0	0	0.068	0.992	0.900	0.999	0.999
CDKN2A	TP53	9606.ENSP00000418915	9606.ENSP00000269305	0	0	0	0	0	0.874	0.900	0.970	0.999
CDKN2A	EGFR	9606.ENSP00000418915	9606.ENSP00000275493	0	0	0	0	0.069	0.045	0	0.906	0.910
CDKN2A	NPM1	9606.ENSP00000418915	9606.ENSP00000296930	0	0	0	0	0	0.874	0	0.995	0.999
CDKN2A	NRAS	9606.ENSP00000418915	9606.ENSP00000358548	0	0	0	0	0.055	0.102	0.900	0.837	0.984
CDKN2A	PTEN	9606.ENSP00000418915	9606.ENSP00000361021	0	0	0	0	0.053	0.188	0	0.908	0.923
CDKN2A	HRAS	9606.ENSP00000418915	9606.ENSP00000407586	0	0	0	0	0.055	0.160	0.900	0.893	0.990
CDKN2A	CTNNB1	9606.ENSP00000418915	9606.ENSP00000495360	0	0	0	0	0.056	0.053	0.500	0.862	0.930
CDKN2A	HIF1A	9606.ENSP00000418915	9606.ENSP00000437955	0	0	0	0	0	0.426	0	0.927	0.956
CDKN2A	MYC	9606.ENSP00000418915	9606.ENSP00000478887	0	0	0	0	0.055	0.783	0.900	0.929	0.998
CEBPA	RARA	9606.ENSP00000427514	9606.ENSP00000254066	0	0	0	0	0.080	0.294	0.500	0.752	0.909
CEBPA	EP300	9606.ENSP00000427514	9606.ENSP00000263253	0	0	0	0	0.060	0.094	0.500	0.797	0.902
CEBPA	TP53	9606.ENSP00000427514	9606.ENSP00000269305	0	0	0	0	0	0	0	0.930	0.930
CEBPA	PPARG	9606.ENSP00000427514	9606.ENSP00000287820	0	0	0	0	0.102	0.045	0.750	0.963	0.991
CEBPA	RUNX1	9606.ENSP00000427514	9606.ENSP00000300305	0	0	0	0	0	0.328	0.900	0.925	0.994
CEBPA	GATA2	9606.ENSP00000427514	9606.ENSP00000345681	0	0	0	0	0.080	0.091	0.500	0.871	0.939
CEBPA	HDAC1	9606.ENSP00000427514	9606.ENSP00000362649	0	0	0	0	0.048	0.636	0	0.838	0.939
CEBPA	FOXO1	9606.ENSP00000427514	9606.ENSP00000368880	0	0	0	0	0.045	0.094	0	0.974	0.975
CEBPA	TNF	9606.ENSP00000427514	9606.ENSP00000398698	0	0	0	0	0.071	0	0.750	0.709	0.926
CEBPA	MYC	9606.ENSP00000427514	9606.ENSP00000478887	0	0	0	0	0.049	0.294	0.500	0.749	0.904
CHEK1	TP53	9606.ENSP00000391090	9606.ENSP00000269305	0	0	0	0	0.074	0.783	0.900	0.906	0.997
CHEK1	PRKDC	9606.ENSP00000391090	9606.ENSP00000313420	0	0	0	0	0.124	0.504	0	0.847	0.928
CHEK1	CHEK2	9606.ENSP00000391090	9606.ENSP00000372023	0	0	0	0.593	0.298	0.922	0	0.526	0.971
CHEK1	WEE1	9606.ENSP00000391090	9606.ENSP00000402084	0	0	0	0	0.196	0.388	0.900	0.860	0.992
CHEK1	RAD51	9606.ENSP00000391090	9606.ENSP00000493712	0	0	0	0	0.573	0.553	0.750	0.973	0.998
CHEK2	MSH2	9606.ENSP00000372023	9606.ENSP00000233146	0	0	0	0	0.183	0.536	0	0.841	0.934
CHEK2	MDM2	9606.ENSP00000372023	9606.ENSP00000258149	0	0	0	0	0.049	0.625	0.750	0.837	0.983
CHEK2	NBN	9606.ENSP00000372023	9606.ENSP00000265433	0	0	0	0	0	0.336	0.500	0.822	0.935
CHEK2	TP53	9606.ENSP00000372023	9606.ENSP00000269305	0	0	0	0	0.072	0.833	0.750	0.992	0.999
CHEK2	PLK1	9606.ENSP00000372023	9606.ENSP00000300093	0	0	0	0.613	0.181	0.726	0	0.590	0.900
CHEK2	PPM1D	9606.ENSP00000372023	9606.ENSP00000306682	0	0	0	0	0.049	0.555	0	0.822	0.918
CHEK2	PRKDC	9606.ENSP00000372023	9606.ENSP00000313420	0	0	0	0	0.063	0.553	0	0.861	0.937
CHEK2	MRE11	9606.ENSP00000372023	9606.ENSP00000325863	0	0	0	0	0.085	0.088	0.500	0.789	0.900
CHEK2	RAD51	9606.ENSP00000372023	9606.ENSP00000493712	0	0	0	0	0.273	0.252	0	0.882	0.930
CHUK	NFKBIA	9606.ENSP00000359424	9606.ENSP00000216797	0	0	0	0	0	0.994	0.900	0.972	0.999
CHUK	NFKB1	9606.ENSP00000359424	9606.ENSP00000226574	0	0	0	0	0.088	0.854	0.900	0.966	0.999
CHUK	SMAD2	9606.ENSP00000359424	9606.ENSP00000262160	0	0	0	0	0.073	0.328	0	0.885	0.922
CHUK	PRKCQ	9606.ENSP00000359424	9606.ENSP00000263125	0	0	0	0.565	0	0.642	0.900	0.224	0.969
CHUK	TP53	9606.ENSP00000359424	9606.ENSP00000269305	0	0	0	0	0.058	0.345	0.500	0.756	0.914
CHUK	IRS1	9606.ENSP00000359424	9606.ENSP00000304895	0	0	0	0	0.049	0.334	0.900	0.354	0.953
CHUK	HSP90AA1	9606.ENSP00000359424	9606.ENSP00000335153	0	0	0	0	0.090	0.704	0	0.972	0.992
CHUK	FOXO3	9606.ENSP00000359424	9606.ENSP00000339527	0	0	0	0	0.060	0.331	0.900	0.400	0.957
CHUK	PDPK1	9606.ENSP00000359424	9606.ENSP00000344220	0	0	0	0.580	0.138	0.104	0.900	0.114	0.922
CHUK	MTOR	9606.ENSP00000359424	9606.ENSP00000354558	0	0	0	0	0.095	0.526	0.900	0.452	0.973
CHUK	NFKB2	9606.ENSP00000359424	9606.ENSP00000358983	0	0	0	0	0.093	0.802	0.900	0.922	0.998
CHUK	FOXO1	9606.ENSP00000359424	9606.ENSP00000368880	0	0	0	0	0	0.094	0.900	0.358	0.936
CHUK	PTEN	9606.ENSP00000359424	9606.ENSP00000361021	0	0	0	0	0.089	0.329	0.900	0.487	0.964
CHUK	MAP3K1	9606.ENSP00000359424	9606.ENSP00000382423	0	0	0	0.563	0.092	0.636	0.900	0.231	0.971
CHUK	IRAK4	9606.ENSP00000359424	9606.ENSP00000479889	0	0	0.150	0.584	0.063	0	0.900	0.899	0.990
CHUK	RELA	9606.ENSP00000359424	9606.ENSP00000384273	0	0	0	0	0.057	0.880	0.900	0.968	0.999
CHUK	TNF	9606.ENSP00000359424	9606.ENSP00000398698	0	0	0	0	0.067	0.994	0.500	0.837	0.999
CHUK	IKBKB	9606.ENSP00000359424	9606.ENSP00000430684	0	0	0.068	0.941	0.060	0.994	0.900	0.983	0.999
COL18A1	MMP2	9606.ENSP00000352798	9606.ENSP00000219070	0	0	0	0	0.115	0.503	0.750	0.687	0.960
COL18A1	KDR	9606.ENSP00000352798	9606.ENSP00000263923	0	0	0	0	0.080	0.292	0	0.944	0.960
COL18A1	MMP9	9606.ENSP00000352798	9606.ENSP00000361405	0	0	0	0	0.110	0.238	0.750	0.588	0.920
COL1A1	ITGB3	9606.ENSP00000225964	9606.ENSP00000452786	0	0	0	0	0.062	0.051	0.650	0.809	0.932
COL1A1	RUNX2	9606.ENSP00000225964	9606.ENSP00000360493	0	0	0	0	0.061	0	0.750	0.826	0.955
COL1A1	SPARC	9606.ENSP00000225964	9606.ENSP00000231061	0	0	0	0	0.743	0.554	0	0.744	0.968
COL1A1	FN1	9606.ENSP00000225964	9606.ENSP00000346839	0	0	0	0	0.335	0.594	0	0.912	0.974
COL1A1	ITGB1	9606.ENSP00000225964	9606.ENSP00000379350	0	0	0	0	0.093	0.294	0.900	0.793	0.984
COMT	CYP1B1	9606.ENSP00000354511	9606.ENSP00000478561	0	0	0	0	0.067	0	0.900	0.719	0.971
COMT	CYP1A1	9606.ENSP00000354511	9606.ENSP00000378488	0	0	0	0	0.067	0	0.900	0.853	0.985
CREB1	MAPK1	9606.ENSP00000387699	9606.ENSP00000215832	0	0	0	0	0.194	0	0.900	0.575	0.962
CREB1	NR3C1	9606.ENSP00000387699	9606.ENSP00000231509	0	0	0	0	0.117	0.512	0	0.837	0.924
CREB1	CREBBP	9606.ENSP00000387699	9606.ENSP00000262367	0	0	0	0	0.155	0.996	0.900	0.997	0.999
CREB1	MAPK3	9606.ENSP00000387699	9606.ENSP00000263025	0	0	0	0	0.089	0	0.900	0.876	0.987
CREB1	EP300	9606.ENSP00000387699	9606.ENSP00000263253	0	0	0	0	0.149	0.875	0.900	0.997	0.999
CREB1	STAT3	9606.ENSP00000387699	9606.ENSP00000264657	0	0	0	0	0.074	0.292	0.500	0.795	0.924
CREB1	TP53	9606.ENSP00000387699	9606.ENSP00000269305	0	0	0	0	0.049	0.776	0	0.992	0.998
CREB1	FOS	9606.ENSP00000387699	9606.ENSP00000306245	0	0	0	0	0.052	0	0.500	0.996	0.998
CREB1	PRKACA	9606.ENSP00000387699	9606.ENSP00000309591	0	0	0	0	0.042	0.510	0.900	0.940	0.996
CREB1	GSK3B	9606.ENSP00000387699	9606.ENSP00000324806	0	0	0	0	0.163	0.292	0.900	0.826	0.988
CREB1	JUN	9606.ENSP00000387699	9606.ENSP00000360266	0	0	0	0	0	0.400	0	0.997	0.998
CREB1	FOXO1	9606.ENSP00000387699	9606.ENSP00000368880	0	0	0	0	0.082	0.091	0	0.911	0.920
CREB1	RELA	9606.ENSP00000387699	9606.ENSP00000384273	0	0	0	0	0.101	0	0	0.986	0.986
CREB1	IL6	9606.ENSP00000387699	9606.ENSP00000385675	0	0	0	0	0.083	0	0.750	0.674	0.918
CREB1	KMT2A	9606.ENSP00000387699	9606.ENSP00000436786	0	0	0	0	0.086	0.900	0	0.167	0.917
CREB1	CTNNB1	9606.ENSP00000387699	9606.ENSP00000495360	0	0	0	0	0.123	0.625	0	0.862	0.950
CREBBP	NFKB1	9606.ENSP00000262367	9606.ENSP00000226574	0	0	0	0	0.060	0	0.500	0.830	0.913
CREBBP	NR3C1	9606.ENSP00000262367	9606.ENSP00000231509	0	0	0	0	0.054	0.788	0	0.741	0.943
CREBBP	MDM2	9606.ENSP00000262367	9606.ENSP00000258149	0	0	0	0	0.122	0.625	0	0.746	0.909
CREBBP	SMAD2	9606.ENSP00000262367	9606.ENSP00000262160	0	0	0	0	0.067	0.841	0	0.914	0.986
CREBBP	YY1	9606.ENSP00000262367	9606.ENSP00000262238	0	0	0	0	0.157	0.330	0.800	0.622	0.951
CREBBP	UBE2I	9606.ENSP00000262367	9606.ENSP00000348056	0	0	0	0	0.070	0.708	0.400	0.501	0.908
CREBBP	SMAD4	9606.ENSP00000262367	9606.ENSP00000341551	0	0	0	0	0.191	0.316	0	0.862	0.917
CREBBP	FGFR1	9606.ENSP00000262367	9606.ENSP00000393312	0	0	0	0	0.049	0.779	0	0.663	0.923
CREBBP	STAT5B	9606.ENSP00000262367	9606.ENSP00000293328	0	0	0	0	0.098	0.294	0.650	0.740	0.934
CREBBP	HDAC2	9606.ENSP00000262367	9606.ENSP00000430432	0	0	0	0	0.057	0.537	0.500	0.735	0.934
CREBBP	STAT3	9606.ENSP00000262367	9606.ENSP00000264657	0	0	0	0	0.063	0.512	0.650	0.645	0.935
CREBBP	SRC	9606.ENSP00000262367	9606.ENSP00000362680	0	0	0	0	0.064	0.513	0	0.879	0.940
CREBBP	NFE2L2	9606.ENSP00000262367	9606.ENSP00000380252	0	0	0	0	0.102	0.644	0.700	0.469	0.942
CREBBP	FOS	9606.ENSP00000262367	9606.ENSP00000306245	0	0	0	0	0.067	0.630	0	0.848	0.943
CREBBP	SMARCA4	9606.ENSP00000262367	9606.ENSP00000343896	0	0	0	0	0.126	0.491	0	0.884	0.944
CREBBP	MYC	9606.ENSP00000262367	9606.ENSP00000478887	0	0	0	0	0.086	0.583	0.500	0.746	0.945
CREBBP	HDAC1	9606.ENSP00000262367	9606.ENSP00000362649	0	0	0	0	0.099	0.537	0.500	0.833	0.960
CREBBP	LEF1	9606.ENSP00000262367	9606.ENSP00000265165	0	0	0	0	0.045	0.125	0.900	0.594	0.961
